Make,Model,Model Year,link,MSRP(usd)
Chevrolet,Malibu,2023,https://carbuzz.com/cars/chevrolet/malibu/2023,24700
Chrysler,Pacifica Hybrid,2023,https://carbuzz.com/cars/chrysler/pacifica-hybrid/2023,50795
Ford,Escape,2023,https://carbuzz.com/cars/ford/escape/2023,28000
Ford,Escape Hybrid,2023,https://carbuzz.com/cars/ford/escape-hybrid/2023,35040
Ford,Mustang Mach-E,2023,https://carbuzz.com/cars/ford/mach-e/2023,42995
Ford,Transit Connect,2023,https://carbuzz.com/cars/ford/transit-connect-passenger-wagon/2023,35600
Hyundai,Ioniq 5,2023,https://carbuzz.com/cars/hyundai/ioniq-5/2023,41450
Hyundai,Sonata,2023,https://carbuzz.com/cars/hyundai/sonata/2023,25250
Hyundai,Sonata Hybrid,2023,https://carbuzz.com/cars/hyundai/sonata-hybrid/2023,28250
Kia,Niro,2023,https://carbuzz.com/cars/kia/niro-ev/2023,39550
Kia,Niro EV,2023,https://carbuzz.com/cars/kia/niro/2023,26590
Kia,Niro Plug-in Hybrid,2023,https://carbuzz.com/cars/kia/niro-hybrid/2023,33840
Mercedes-Benz,Metris,2023,https://carbuzz.com/cars/mercedes-benz/metris-passenger-van/2023,43600
Nissan,Altima,2023,https://carbuzz.com/cars/nissan/altima/2023,25490
Tesla,Model 3,2023,https://carbuzz.com/cars/tesla/model-3/2023,40240
Tesla,Model Y,2023,https://carbuzz.com/cars/tesla/model-y/2023,47240
Toyota,Camry,2023,https://carbuzz.com/cars/toyota/camry/2023,26320
Toyota,Camry Hybrid,2023,https://carbuzz.com/cars/toyota/camry-hybrid/2023,28655
Toyota,Crown,2023,https://carbuzz.com/cars/toyota/crown/2023,39950
Toyota,Highlander,2023,https://carbuzz.com/cars/toyota/highlander/2023,36620
Toyota,Highlander Hybrid,2023,https://carbuzz.com/cars/toyota/highlander-hybrid/2023,40620
Toyota,Prius,2023,https://carbuzz.com/cars/toyota/prius/2023,27450
Toyota,RAV4,2023,https://carbuzz.com/cars/toyota/rav4/2023,28275
Toyota,RAV4 Hybrid,2023,https://carbuzz.com/cars/toyota/rav4-hybrid/2023,31225
Toyota,Sienna,2023,https://carbuzz.com/cars/toyota/sienna/2023,36135
Toyota,Venza,2023,https://carbuzz.com/cars/toyota/venza/2023,34620
