precio_combustible,precio_electricidad,fecha
3.3689999999999998,18.04,2023-01-01
3.3930000000000002,16.48,2023-02-01
3.361,16.8,2023-03-01
3.513,,2023-04-01
3.5860000000000003,,2023-05-01
0.0,,2023-06-01
0.0,,2023-07-01
0.0,,2023-08-01
0.0,,2023-09-01
0.0,,2023-10-01
0.0,,2023-11-01
0.0,,2023-12-01
3.4189999999999996,16.6,2022-01-01
3.6510000000000002,17.4,2022-02-01
4.295,16.2,2022-03-01
4.11,16.3,2022-04-01
4.632,16.9,2022-05-01
4.854,19.4,2022-06-01
4.593999999999999,20.0,2022-07-01
4.175,20.1,2022-08-01
3.6889999999999996,20.5,2022-09-01
3.596,19.0,2022-10-01
3.76,17.9,2022-11-01
3.4189999999999996,17.6,2022-12-01
2.353,14.2,2021-01-01
2.529,15.2,2021-02-01
2.7960000000000003,15.0,2021-03-01
2.812,15.9,2021-04-01
2.95,15.6,2021-05-01
3.054,17.1,2021-06-01
3.12,18.4,2021-07-01
3.1489999999999996,18.6,2021-08-01
3.2239999999999998,18.8,2021-09-01
3.35,17.2,2021-10-01
3.4939999999999998,15.6,2021-11-01
3.4410000000000003,15.4,2021-12-01
2.6319999999999997,13.1,2020-01-01
2.53,13.2,2020-02-01
2.377,13.3,2020-03-01
2.128,13.2,2020-04-01
2.081,13.9,2020-05-01
2.149,15.7,2020-06-01
2.197,15.8,2020-07-01
2.188,15.8,2020-08-01
2.194,16.0,2020-09-01
2.1630000000000003,15.3,2020-10-01
2.147,14.8,2020-11-01
2.206,14.0,2020-12-01
2.444,13.0,2019-01-01
2.398,13.1,2019-02-01
2.555,12.9,2019-03-01
2.772,13.1,2019-04-01
2.897,13.4,2019-05-01
2.79,14.8,2019-06-01
2.799,15.3,2019-07-01
2.75,15.2,2019-08-01
2.655,15.7,2019-09-01
2.602,14.6,2019-10-01
2.6,13.4,2019-11-01
2.596,13.4,2019-12-01
2.6260000000000003,14.4,2018-01-01
2.678,13.6,2018-02-01
2.633,13.4,2018-03-01
2.798,13.4,2018-04-01
2.9739999999999998,13.7,2018-05-01
2.987,15.1,2018-06-01
2.925,16.1,2018-07-01
2.91,15.5,2018-08-01
2.907,16.1,2018-09-01
2.908,15.0,2018-10-01
2.7969999999999997,13.8,2018-11-01
2.605,13.1,2018-12-01
2.477,13.9,2017-01-01
2.41,13.4,2017-02-01
2.367,14.2,2017-03-01
2.449,13.8,2017-04-01
2.454,14.6,2017-05-01
2.42,16.0,2017-06-01
2.37,16.1,2017-07-01
2.435,16.0,2017-08-01
2.7569999999999997,16.1,2017-09-01
2.597,15.0,2017-10-01
2.61,13.9,2017-11-01
2.56,13.5,2017-12-01
2.1069999999999998,13.4,2016-01-01
1.944,13.6,2016-02-01
1.999,13.6,2016-03-01
2.186,13.8,2016-04-01
2.344,13.6,2016-05-01
2.385,15.1,2016-06-01
2.3409999999999997,15.7,2016-07-01
2.27,15.6,2016-08-01
2.267,15.8,2016-09-01
2.309,14.9,2016-10-01
2.334,14.0,2016-11-01
2.378,13.8,2016-12-01
2.512,14.6,2015-01-01
2.4090000000000003,16.0,2015-02-01
2.562,15.1,2015-03-01
2.595,14.5,2015-04-01
2.793,14.5,2015-05-01
2.8789999999999996,15.8,2015-06-01
2.883,16.2,2015-07-01
2.688,16.0,2015-08-01
2.4419999999999997,16.1,2015-09-01
2.314,15.3,2015-10-01
2.2840000000000003,14.0,2015-11-01
2.2230000000000003,13.9,2015-12-01
3.636,16.4,2014-01-01
3.6239999999999997,17.5,2014-02-01
3.74,16.9,2014-03-01
3.799,14.9,2014-04-01
3.86,15.0,2014-05-01
3.8569999999999998,16.4,2014-06-01
3.843,16.7,2014-07-01
3.697,16.4,2014-08-01
3.589,16.8,2014-09-01
3.44,15.8,2014-10-01
3.219,15.3,2014-11-01
2.937,14.9,2014-12-01
3.7,14.8,2013-01-01
3.9330000000000003,15.5,2013-02-01
3.9219999999999997,14.7,2013-03-01
3.763,14.0,2013-04-01
3.696,14.4,2013-05-01
3.7039999999999997,15.9,2013-06-01
3.799,16.7,2013-07-01
3.842,16.2,2013-08-01
3.785,16.5,2013-09-01
3.594,15.2,2013-10-01
3.53,13.7,2013-11-01
3.637,14.5,2013-12-01
3.625,14.5,2012-01-01
3.835,14.3,2012-02-01
3.9810000000000003,14.3,2012-03-01
4.088,14.5,2012-04-01
3.908,14.6,2012-05-01
3.676,15.9,2012-06-01
3.654,16.5,2012-07-01
3.877,15.3,2012-08-01
4.043,16.2,2012-09-01
4.013999999999999,15.1,2012-10-01
3.862,14.3,2012-11-01
3.741,14.5,2012-12-01
